,COUNTA of RC DUE
YES/NO,,Designation,,,,,,,,,,,,,,,,,,,,,,,
,RC DUE Year,RC DUE Month,ASSISTANT,JE,Jr.CLERK,OS,Sr.TECH,Sr.TECH/BS,SSE,SSE/INCHARGE,TECH/I,TECH/I/CJ,TECH/II,TECH/III,Grand Total,,,,,,,,,,,
,2007,,,,,,1,,,,,,,,1,,,,,,,,,,,
,2008,04,,,,,,,,,2,,,,2,,,,,,,,,,,
,2008 Total,,,,,,,,,,2,,,,2,,,,,,,,,,,
,2010,03,,,,,,,,,1,,,,1,,,,,,,,,,,
,2010 Total,,,,,,,,,,1,,,,1,,,,,,,,,,,
,2011,09,,,,,,,,,,,1,,1,,,,,,,,,,,
,2011 Total,,,,,,,,,,,,1,,1,,,,,,,,,,,
,2012,01,,,,,,,,,1,,,,1,,,,,,,,,,,
,,10,,,,,,,,,,,,1,1,,,,,,,,,,,
,2012 Total,,,,,,,,,,1,,,1,2,,,,,,,,,,,
,2020,12,,,,,,,,,,,,1,1,,,,,,,,,,,
,2020 Total,,,,,,,,,,,,,1,1,,,,,,,,,,,
,2021,01,,,,,,,,,1,,,,1,,,,,,,,,,,
,2021 Total,,,,,,,,,,1,,,,1,,,,,,,,,,,
,2022,10,,,,,,,1,,,,,,1,,,,,,,,,,,
,2022 Total,,,,,,,,1,,,,,,1,,,,,,,,,,,
,2023,02,,,,,,,,,,,1,,1,,,,,,,,,,,
,,05,,,,,,,,,,,1,,1,,,,,,,,,,,
,,08,,1,,,1,,,,,,,,2,,,,,,,,,,,
,,12,,,,,,,,,,,5,,5,,,,,,,,,,,
,2023 Total,,,1,,,1,,,,,,7,,9,,,,,,,,,,,
,2024,01,,1,,,,,,1,,,,,2,,,,,,,,,,,
,,02,,,,,,,,,2,,,,2,,,,,,,,,,,
,,07,,,,,,,,1,,,,,1,,,,,,,,,,,
,,10,,,,,,,,,1,,,,1,,,,,,,,,,,
,2024 Total,,,1,,,,,,2,3,,,,6,,,,,,,,,,,
,2025,01,,,,,,,1,,2,,,,3,,,,,,,,,,,
,,02,,,,,,,,,1,,3,,4,,,,,,,,,,,
,,04,,,,,,,,,,,1,,1,,,,,,,,,,,
,,06,,,,,,,,,2,,2,,4,,,,,,,,,,,
,,07,,,,,,,,,1,,1,2,4,,,,,,,,,,,
,,08,,,,,1,,1,,1,,,1,4,,,,,,,,,,,
,,10,,1,,,4,,,,6,,,,11,,,,,,,,,,,
,,11,,,,,6,,,,6,,1,,13,,,,,,,,,,,
,,12,,,,,3,,,,2,,,1,6,,,,,,,,,,,
,2025 Total,,,1,,,14,,2,,21,,8,4,50,,,,,,,,,,,
,2026,01,,1,,,3,,,,1,,,,5,,,,,,,,,,,
,,02,,,,,1,,1,,,,,1,3,,,,,,,,,,,
,,03,,,,,4,,,,2,,1,3,10,,,,,,,,,,,
,,04,,,,,,,,1,,,,1,2,,,,,,,,,,,
,,05,,5,,,7,,1,,8,,,1,22,,,,,,,,,,,
