SMMS Onboarding,,,,,,,,,,,,Auto Section,,,,,,,,,,,,,,
Section,%
EMP created,%
User ID 
created,Total Strength,SMMS Not Applicable,SMMS Applicable,SMMS Emp ID created,SMMS User Created,Total Signals,Signal Asset created,Signal Asset Aprroved,,TECH,SUPVISIORS,,,,,,,,,,,,,
MAS,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,13,3,,,,,,,,,,,,,
BBQ,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,32,3,,,,,,,,,,,,,
TVT,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,24,4,,,,,,,,,,,,,
GPD,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,15,3,,,,,,,,,,,,,
SPE,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,22,3,,,,,,,,,,,,,
NYP,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,24,4,,,,,,,,,,,,,
TRL,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,39,5,,,,,,,,,,,,,
AJJE,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,28,5,,,,,,,,,,,,,
AJJW,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,10,3,,,,,,,,,,,,,
TRT,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,14,4,,,,,,,,,,,,,
KPDE,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,33,4,,,,,,,,,,,,,
KPDW,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,14,3,,,,,,,,,,,,,
AB,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,13,3,,,,,,,,,,,,,
JTJ,Error 2023,Error 2023,1,Error 2023,Error 2023,Error 2023,Error 2023,,,,,,,,,,,,,,,,,,,
